Var_ID,Variant,Ref_Modal,Variant_Slug,Var_Location,Price,Modal_ID,Ref_Brand,Engine,Cylinders,Drive_Type,Fuel_Tank,Fuel_Economy,Fuel_Type,Horsepower,Torque,Transmission,Seating_Capacity,Acceleration,Battery_Size,Battery_Range,Motor,Top_Speed,Featured_Image,Gallery,Status,Created_At
11,Super,Giulietta,super,KSA,DISCONTINUED,11,297,1.4,4,"Front Wheel Drive",60,7.5,Petrol,170,250,Automatic,"5 Seater",8.2,,,,220,Alfa-Romeo-Giulietta-2024-Super,Alfa-Romeo-Giulietta-2024-Super,Publish,"0000-00-00 00:00:00"
12,Veloce,Giulietta,veloce,KSA,"2,10,559",12,297,2,N/A,"Rear Wheel Drive",58,,Petrol,280,415,Automatic,"5 Seater",,,,,,Alfa-Romeo-Giulietta-2024-Veloce,Alfa-Romeo-Giulietta-2024-Veloce,Publish,"0000-00-00 00:00:00"
13,"4.0T (707 Edition)",DBX,4-0t-707-edition,KSA,TBD,13,276,4,8,"All Wheel Drive",85,14.3,Petrol,707,900,Automatic,"5 Seater",3.3,,,,310,Aston-Martin-DBX-2024-4.0T-707-Edition,Aston-Martin-DBX-2024-4.0T-707-Edition,Publish,"0000-00-00 00:00:00"
14,"AM-RB 003 V6 Hypercar",Valhalla,am-rb-003-v6-hypercar,KSA,TBD,14,276,0,6,N/A,,,Petrol,,,N/A,"N A",,,,,,Aston-Martin-Valhalla-2024-AM-RB-003-V6-Hypercar,Aston-Martin-Valhalla-2024-AM-RB-003-V6-Hypercar,Publish,"0000-00-00 00:00:00"
15,"4.0T V8 Coupe",DB11,4-0t-v8-coupe,KSA,"9,63,375",15,276,4,8,"Rear Wheel Drive",78,9.9,Petrol,528,675,Automatic,"4 Seater",4,,,,309,Aston-Martin-DB11-2024-4.0T-V8-Coupe,Aston-Martin-DB11-2024-4.0T-V8-Coupe,Publish,"0000-00-00 00:00:00"
16,"4.0T V8 Volante",DB11,4-0t-v8-volante,KSA,"10,43,477",16,276,4,8,"Rear Wheel Drive",78,9.9,Petrol,503,675,Automatic,"4 Seater",3.9,,,,322,Aston-Martin-DB11-2024-4.0T-V8-Volante,Aston-Martin-DB11-2024-4.0T-V8-Volante,Publish,"0000-00-00 00:00:00"
17,"5.2T V12",DBS,5-2t-v12,KSA,"13,86,462",17,276,5.2,12,"Rear Wheel Drive",,12.2,Petrol,715,900,Automatic,"4 Seater",3.4,,,,340,Aston-Martin-DBS-2024-5.2T-V12,Aston-Martin-DBS-2024-5.2T-V12,Publish,"0000-00-00 00:00:00"
18,"5.2T V12 770 Ultimate",DBS,5-2t-v12-770-ultimate,KSA,TBD,18,276,5.2,12,"Rear Wheel Drive",,12.2,Petrol,770,900,Automatic,"4 Seater",3.4,,,,340,Aston-Martin-DBS-2024-5.2T-V12-770-Ultimate,Aston-Martin-DBS-2024-5.2T-V12-770-Ultimate,Publish,"0000-00-00 00:00:00"
19,"5.2T V12","DBS Superleggera Volante",5-2t-v12,KSA,TBD,19,276,5.2,12,"Rear Wheel Drive",,14,Petrol,725,900,Automatic,"N A",3.6,,,,340,Aston-Martin-DBS-Superleggera-Volante-2024-5.2T-V12,Aston-Martin-DBS-Superleggera-Volante-2024-5.2T-V12,Publish,"0000-00-00 00:00:00"
20,"4.0T V8",Vantage,4-0t-v8,KSA,"7,77,858",20,276,4,8,"All Wheel Drive",85,12.7,Petrol,650,850,Automatic,"4 Seater",3.6,,,,305,Aston-Martin-Vantage-2024-4.0T-V8,Aston-Martin-Vantage-2024-4.0T-V8,Publish,"0000-00-00 00:00:00"
21,"5.2T V12",Vantage,5-2t-v12,KSA,TBD,21,276,5.2,12,"Rear Wheel Drive",73,,Petrol,700,900,Automatic,"2 Seater",3.5,,,,322,Aston-Martin-Vantage-2024-5.2T-V12,Aston-Martin-Vantage-2024-5.2T-V12,Publish,"0000-00-00 00:00:00"
22,"5.2T V12","Vantage Roadster",5-2t-v12,KSA,TBD,22,276,5.2,12,"Rear Wheel Drive",73,10.3,Petrol,700,900,Automatic,"2 Seater",3.6,,,,322,Aston-Martin-Vantage-Roadster-2024-5.2T-V12,Aston-Martin-Vantage-Roadster-2024-5.2T-V12,Publish,"0000-00-00 00:00:00"
23,"6.0L V12","Rapide AMR",6-0l-v12,KSA,DISCONTINUED,23,276,5.9,12,"Rear Wheel Drive",90.5,12.9,Petrol,590,630,Automatic,"4 Seater",4.4,,,,330,Aston-Martin-Rapide-AMR-2024-6.0L-V12,Aston-Martin-Rapide-AMR-2024-6.0L-V12,Publish,"0000-00-00 00:00:00"
24,"4.0L TFSI V8 Quattro (600 HP)","RS6 Avant",4-0l-tfsi-v8-quattro-600-hp,KSA,TBD,24,277,4,8,"All Wheel Drive",73,11.5,Petrol,600,800,Automatic,"5 Seater",3.6,,,,250,Audi-RS6-Avant-2024-4.0L-TFSI-V8-Quattro-600-HP,Audi-RS6-Avant-2024-4.0L-TFSI-V8-Quattro-600-HP,Publish,"0000-00-00 00:00:00"
25,"40 TFSI (180 HP)","Q3 Sportback",40-tfsi-180-hp,KSA,"3,75,820",25,277,2,4,"Front Wheel Drive",58,6,Petrol,180,320,Automatic,"5 Seater",7.4,,,,206,Audi-Q3-Sportback-2024-40-TFSI-180-HP,Audi-Q3-Sportback-2024-40-TFSI-180-HP,Publish,"0000-00-00 00:00:00"
26,"3.0 TFSI V6 (340 HP) quattro",A6,3-0-tfsi-v6-340-hp-quattro,KSA,TBD,26,277,3,6,"All Wheel Drive",,7.1,Petrol,340,500,Automatic,"5 Seater",5.1,,,,250,Audi-A6-2024-3.0-TFSI-V6-340-HP-quattro,Audi-A6-2024-3.0-TFSI-V6-340-HP-quattro,Publish,"0000-00-00 00:00:00"
27,"40 TFSI Advanced (190 HP)",A6,40-tfsi-advanced-190-hp,KSA,TBD,27,277,2,4,"Front Wheel Drive",63,6,Petrol,190,320,Automatic,"5 Seater",8.1,,,,233,Audi-A6-2024-40-TFSI-Advanced-190-HP,Audi-A6-2024-40-TFSI-Advanced-190-HP,Publish,"0000-00-00 00:00:00"
28,"55 TFSI quattro (340 HP)",Q8,55-tfsi-quattro-340-hp,KSA,"4,81,820",28,277,3,6,"All Wheel Drive",85,8,Petrol,340,500,Automatic,"5 Seater",5.9,,,,250,Audi-Q8-2024-55-TFSI-quattro-340-HP,Audi-Q8-2024-55-TFSI-quattro-340-HP,Publish,"0000-00-00 00:00:00"
29,"55 TFSI S-Line quattro (340 HP)",Q8,55-tfsi-s-line-quattro-340-hp,KSA,TBD,29,277,3,6,"All Wheel Drive",85,8,Petrol,340,500,Automatic,"5 Seater",5.9,,,,250,Audi-Q8-2024-55-TFSI-S-Line-quattro-340-HP,Audi-Q8-2024-55-TFSI-S-Line-quattro-340-HP,Publish,"0000-00-00 00:00:00"
30,"45 TFSI quattro (245 HP)","A7 Sportback",45-tfsi-quattro-245-hp,KSA,TBD,30,277,2,6,"All Wheel Drive",63,7.2,Petrol,245,370,Automatic,"5 Seater",6.2,,,,250,Audi-A7-Sportback-2024-45-TFSI-quattro-245-HP,Audi-A7-Sportback-2024-45-TFSI-quattro-245-HP,Publish,"0000-00-00 00:00:00"
31,"S7 TFSI quattro (450 HP)","A7 Sportback",s7-tfsi-quattro-450-hp,KSA,TBD,31,277,2.9,6,"All Wheel Drive",63,7.2,Petrol,450,600,Automatic,"5 Seater",4.6,,,,250,Audi-A7-Sportback-2024-S7-TFSI-quattro-450-HP,Audi-A7-Sportback-2024-S7-TFSI-quattro-450-HP,Publish,"0000-00-00 00:00:00"
32,"35 TFSI Advanced (150 HP)","A3 Sedan",35-tfsi-advanced-150-hp,KSA,TBD,32,277,1.4,4,"Front Wheel Drive",50,6.1,Petrol,150,250,Automatic,"5 Seater",8.4,,,,232,Audi-A3-Sedan-2024-35-TFSI-Advanced-150-HP,Audi-A3-Sedan-2024-35-TFSI-Advanced-150-HP,Publish,"0000-00-00 00:00:00"
33,"2.0 TFSI quattro (285 HP)","S3 Sedan",2-0-tfsi-quattro-285-hp,KSA,TBD,33,277,2,4,"All Wheel Drive",55,8,Petrol,285,400,Automatic,"5 Seater",4.8,,,,250,Audi-S3-Sedan-2024-2.0-TFSI-quattro-285-HP,Audi-S3-Sedan-2024-2.0-TFSI-quattro-285-HP,Publish,"0000-00-00 00:00:00"
34,"35 TFSI Design (150 HP)",Q2,35-tfsi-design-150-hp,KSA,"1,72,820",34,277,1.4,4,"Front Wheel Drive",50,5.4,Petrol,150,250,Automatic,"5 Seater",8.5,,,,208,Audi-Q2-2024-35-TFSI-Design-150-HP,Audi-Q2-2024-35-TFSI-Design-150-HP,Publish,"0000-00-00 00:00:00"
35,"2.0 TFSI (285 HP)","S3 Sportback",2-0-tfsi-285-hp,KSA,TBD,35,277,2,4,"All Wheel Drive",55,8.3,Petrol,285,400,Automatic,"5 Seater",4.8,,,,250,Audi-S3-Sportback-2024-2.0-TFSI-285-HP,Audi-S3-Sportback-2024-2.0-TFSI-285-HP,Publish,"0000-00-00 00:00:00"
36,"2.5 TFSI quattro (400 HP)","RS 3 Sportback",2-5-tfsi-quattro-400-hp,KSA,TBD,36,277,2.5,5,"All Wheel Drive",55,9,Petrol,400,500,Automatic,"5 Seater",3.8,,,,250,Audi-RS-3-Sportback-2024-2.5-TFSI-quattro-400-HP,Audi-RS-3-Sportback-2024-2.5-TFSI-quattro-400-HP,Publish,"0000-00-00 00:00:00"
37,"3.0 TFSI quattro (354 HP)","S5 Sportback",3-0-tfsi-quattro-354-hp,KSA,TBD,37,277,3,6,"All Wheel Drive",58,7.5,Petrol,354,500,Automatic,"5 Seater",4.7,,,,250,Audi-S5-Sportback-2024-3.0-TFSI-quattro-354-HP,Audi-S5-Sportback-2024-3.0-TFSI-quattro-354-HP,Publish,"0000-00-00 00:00:00"
38,"2.5L TFSI quattro Sportback","RS Q3",2-5l-tfsi-quattro-sportback,KSA,TBD,38,277,2.5,5,"All Wheel Drive",64,6.7,Petrol,400,480,Automatic,"5 Seater",4.5,,,,280,Audi-RS-Q3-2024-2.5L-TFSI-quattro-Sportback,Audi-RS-Q3-2024-2.5L-TFSI-quattro-Sportback,Publish,"0000-00-00 00:00:00"
39,"4.0 TFSI V8 Quattro","RS Q8",4-0-tfsi-v8-quattro,KSA,TBD,39,277,4,8,"All Wheel Drive",85,12.1,Petrol,600,800,Automatic,"5 Seater",3.8,,,,250,Audi-RS-Q8-2024-4.0-TFSI-V8-Quattro,Audi-RS-Q8-2024-4.0-TFSI-V8-Quattro,Publish,"0000-00-00 00:00:00"
40,"4.0 TFSI quattro (500 HP)",SQ8,4-0-tfsi-quattro-500-hp,KSA,TBD,40,277,4,8,"All Wheel Drive",85,8,Petrol,500,700,Automatic,"5 Seater",4.3,,,,250,Audi-SQ8-2024-4.0-TFSI-quattro-500-HP,Audi-SQ8-2024-4.0-TFSI-quattro-500-HP,Publish,"0000-00-00 00:00:00"
41,"55 (95 kWh) Quattro","e-tron Sportback",55-95-kwh-quattro,KSA,TBD,41,277,0,"N/A, Electric","All Wheel Drive",,,Electric,402,664,,"5 Seater",5.7,95,446,Double,200,Audi-e-tron-Sportback-2024-55-95-kWh-Quattro,Audi-e-tron-Sportback-2024-55-95-kWh-Quattro,Publish,"0000-00-00 00:00:00"
42,"50 (71 kWh) Quattro","e-tron Sportback",50-71-kwh-quattro,KSA,TBD,42,277,0,"N/A, Electric","All Wheel Drive",,,Electric,308,540,,"5 Seater",6.8,71,347,Double,190,Audi-e-tron-Sportback-2024-50-71-kWh-Quattro,Audi-e-tron-Sportback-2024-50-71-kWh-Quattro,Publish,"0000-00-00 00:00:00"
43,"2.5 TFSI quattro (400 HP)","RS3 Sedan",2-5-tfsi-quattro-400-hp,KSA,TBD,43,277,2.5,5,"All Wheel Drive",55,8.7,Petrol,400,500,Automatic,"5 Seater",3.8,,,,250,Audi-RS3-Sedan-2024-2.5-TFSI-quattro-400-HP,Audi-RS3-Sedan-2024-2.5-TFSI-quattro-400-HP,Publish,"0000-00-00 00:00:00"
44,"2.9 TFSI V6 (450 HP) Quattro","RS5 Sportback",2-9-tfsi-v6-450-hp-quattro,KSA,TBD,44,277,2.9,6,"All Wheel Drive",58,8.7,Petrol,450,600,Automatic,"5 Seater",3.9,,,,250,Audi-RS5-Sportback-2024-2.9-TFSI-V6-450-HP-Quattro,Audi-RS5-Sportback-2024-2.9-TFSI-V6-450-HP-Quattro,Publish,"0000-00-00 00:00:00"
45,"45 TFSI S-Line Quattro","Q5 Sportback",45-tfsi-s-line-quattro,KSA,"3,08,820",45,277,2,4,"All Wheel Drive",70,7.6,Petrol,249,370,Automatic,"5 Seater",6.3,,,,237,Audi-Q5-Sportback-2024-45-TFSI-S-Line-Quattro,Audi-Q5-Sportback-2024-45-TFSI-S-Line-Quattro,Publish,"0000-00-00 00:00:00"
46,"2.5 TFSI Quattro (400 HP)","RS Q3 Sporback",2-5-tfsi-quattro-400-hp,KSA,TBD,46,277,2.5,5,"All Wheel Drive",63,8.9,Petrol,400,480,Automatic,"5 Seater",4.5,,,,250,Audi-RS-Q3-Sporback-2024-2.5-TFSI-Quattro-400-HP,Audi-RS-Q3-Sporback-2024-2.5-TFSI-Quattro-400-HP,Publish,"0000-00-00 00:00:00"
47,"Advanced 55 quattro","Q8 e-tron",advanced-55-quattro,KSA,TBD,47,277,0,N/A,"All Wheel Drive",,,Electric,402,664,,"5 Seater",6,89,480,Double,,Audi-Q8-e-tron-2024-Advanced-55-quattro,Audi-Q8-e-tron-2024-Advanced-55-quattro,Publish,"0000-00-00 00:00:00"
48,"40 TFSI S-Line (190 HP)","A5 Sportback",40-tfsi-s-line-190-hp,KSA,TBD,48,277,2,4,"Front Wheel Drive",58,5.5,Petrol,190,320,Automatic,"5 Seater",7.5,,,,240,Audi-A5-Sportback-2024-40-TFSI-S-Line-190-HP,Audi-A5-Sportback-2024-40-TFSI-S-Line-190-HP,Publish,"0000-00-00 00:00:00"
49,"35 TFSI Advanced (150 HP)",Q3,35-tfsi-advanced-150-hp,KSA,TBD,49,277,1.4,4,"Front Wheel Drive",58,6.5,Petrol,150,250,Automatic,"5 Seater",9.2,,,,206,Audi-Q3-2024-35-TFSI-Advanced-150-HP,Audi-Q3-2024-35-TFSI-Advanced-150-HP,Publish,"0000-00-00 00:00:00"
50,"45 TFSI Sport quattro (252 HP)","A5 Sportback",45-tfsi-sport-quattro-252-hp,KSA,TBD,50,277,2,4,"All Wheel Drive",58,6.3,Petrol,252,370,Automatic,"5 Seater",5.8,,,,250,Audi-A5-Sportback-2024-45-TFSI-Sport-quattro-252-HP,Audi-A5-Sportback-2024-45-TFSI-Sport-quattro-252-HP,Publish,"0000-00-00 00:00:00"
51,"35 TFSI S-line (150 HP)",A4,35-tfsi-s-line-150-hp,KSA,TBD,51,277,2,4,"Front Wheel Drive",54,5.9,Petrol,150,270,Automatic,"5 Seater",5.8,,,,225,Audi-A4-2024-35-TFSI-S-line-150-HP,Audi-A4-2024-35-TFSI-S-line-150-HP,Publish,"0000-00-00 00:00:00"
52,"40 TFSI S-line (190 HP)","A5 Coupe",40-tfsi-s-line-190-hp,KSA,TBD,52,277,2,4,"Front Wheel Drive",54,5.4,Petrol,190,320,Automatic,"4 Seater",7.3,,,,240,Audi-A5-Coupe-2024-40-TFSI-S-line-190-HP,Audi-A5-Coupe-2024-40-TFSI-S-line-190-HP,Publish,"0000-00-00 00:00:00"
53,"45 TFSI (230 HP)",TT,45-tfsi-230-hp,KSA,TBD,53,277,2,4,"Front Wheel Drive",50,6.3,Petrol,230,370,Automatic,"2 Seater",5.9,,,,250,Audi-TT-2024-45-TFSI-230-HP,Audi-TT-2024-45-TFSI-230-HP,Publish,"0000-00-00 00:00:00"
54,"45 TFSI (230 HP)","TT Roadster",45-tfsi-230-hp,KSA,TBD,54,277,2,4,"Front Wheel Drive",50,6,Petrol,230,370,Automatic,"2 Seater",6.2,,,,250,Audi-TT-Roadster-2024-45-TFSI-230-HP,Audi-TT-Roadster-2024-45-TFSI-230-HP,Publish,"0000-00-00 00:00:00"
55,"35 TFSI (170 HP)","A5 Cabriolet",35-tfsi-170-hp,KSA,TBD,55,277,1.8,4,"Front Wheel Drive",63,6.2,Petrol,170,320,Automatic,"4 Seater",8.9,,,,213,Audi-A5-Cabriolet-2024-35-TFSI-170-HP,Audi-A5-Cabriolet-2024-35-TFSI-170-HP,Publish,"0000-00-00 00:00:00"
56,"45 TFSI quattro (230 HP)",TT,45-tfsi-quattro-230-hp,KSA,TBD,56,277,2,4,"All Wheel Drive",55,6.4,Petrol,230,370,Automatic,"2 Seater",5.3,,,,250,Audi-TT-2024-45-TFSI-quattro-230-HP,Audi-TT-2024-45-TFSI-quattro-230-HP,Publish,"0000-00-00 00:00:00"
57,"45 TFSI S-Line Quattro",Q5,45-tfsi-s-line-quattro,KSA,TBD,57,277,2,4,"All Wheel Drive",73,7.3,Petrol,272,370,Automatic,"5 Seater",6.3,,,,237,Audi-Q5-2024-45-TFSI-S-Line-Quattro,Audi-Q5-2024-45-TFSI-S-Line-Quattro,Publish,"0000-00-00 00:00:00"
58,"55 TFSI quattro S-line (340 HP)",Q7,55-tfsi-quattro-s-line-340-hp,KSA,TBD,58,277,3,6,"All Wheel Drive",85,8.1,Petrol,340,500,Automatic,"5 Seater",5.9,,,,250,Audi-Q7-2024-55-TFSI-quattro-S-line-340-HP,Audi-Q7-2024-55-TFSI-quattro-S-line-340-HP,Publish,"0000-00-00 00:00:00"
59,"45 TFSI S-Line Quattro (252 HP)",Q7,45-tfsi-s-line-quattro-252-hp,KSA,TBD,59,277,2,4,"All Wheel Drive",85,8.1,Petrol,252,370,Automatic,"5 Seater",7.4,,,,233,Audi-Q7-2024-45-TFSI-S-Line-Quattro-252-HP,Audi-Q7-2024-45-TFSI-S-Line-Quattro-252-HP,Publish,"0000-00-00 00:00:00"
60,"2.9 TFSI quattro (450 HP)",S6,2-9-tfsi-quattro-450-hp,KSA,TBD,60,277,2.9,8,"All Wheel Drive",63,9.2,Petrol,450,600,Automatic,"5 Seater",4.4,,,,250,Audi-S6-2024-2.9-TFSI-quattro-450-HP,Audi-S6-2024-2.9-TFSI-quattro-450-HP,Publish,"0000-00-00 00:00:00"
61,"2.9 Kingdom Edition (450 HP)",S6,2-9-kingdom-edition-450-hp,KSA,TBD,61,277,2.9,8,"All Wheel Drive",63,9.2,Petrol,450,600,Automatic,"5 Seater",4.4,,,,250,Audi-S6-2024-2.9-Kingdom-Edition-450-HP,Audi-S6-2024-2.9-Kingdom-Edition-450-HP,Publish,"0000-00-00 00:00:00"
62,"55 TFSI quattro Long (340 HP)",A8,55-tfsi-quattro-long-340-hp,KSA,"5,85,819",62,277,3,6,"All Wheel Drive",82,10.2,Petrol,340,500,Automatic,"5 Seater",5.7,,,,250,Audi-A8-2024-55-TFSI-quattro-Long-340-HP,Audi-A8-2024-55-TFSI-quattro-Long-340-HP,Publish,"0000-00-00 00:00:00"
63,"2.9 TFSI quattro (450 HP)","RS5 Coupe",2-9-tfsi-quattro-450-hp,KSA,TBD,63,277,2.9,6,"All Wheel Drive",58,9.1,Petrol,450,600,Automatic,"4 Seater",3.9,,,,280,Audi-RS5-Coupe-2024-2.9-TFSI-quattro-450-HP,Audi-RS5-Coupe-2024-2.9-TFSI-quattro-450-HP,Publish,"0000-00-00 00:00:00"
64,"60 TFSI quattro (460 HP)",A8,60-tfsi-quattro-460-hp,KSA,TBD,64,277,4,8,"All Wheel Drive",82,9.4,Petrol,460,660,Automatic,"5 Seater",4.5,,,,250,Audi-A8-2024-60-TFSI-quattro-460-HP,Audi-A8-2024-60-TFSI-quattro-460-HP,Publish,"0000-00-00 00:00:00"
65,"4.0 TFSI quattro (600 HP)",RS7,4-0-tfsi-quattro-600-hp,KSA,TBD,65,277,4,8,"All Wheel Drive",73,11.5,Petrol,600,800,Automatic,"5 Seater",3.6,,,,250,Audi-RS7-2024-4.0-TFSI-quattro-600-HP,Audi-RS7-2024-4.0-TFSI-quattro-600-HP,Publish,"0000-00-00 00:00:00"
66,"4.0 TFSI quattro (520 HP)",S8,4-0-tfsi-quattro-520-hp,KSA,TBD,66,277,4,8,"All Wheel Drive",82,9.6,Petrol,520,650,Automatic,"5 Seater",4.1,,,,250,Audi-S8-2024-4.0-TFSI-quattro-520-HP,Audi-S8-2024-4.0-TFSI-quattro-520-HP,Publish,"0000-00-00 00:00:00"
67,"5.2L V10 Performance RWD (570 HP)","R8 Coupe",5-2l-v10-performance-rwd-570-hp,KSA,TBD,67,277,5.2,10,"Rear Wheel Drive",83,12.8,Petrol,570,550,Automatic,"2 Seater",3.7,,,,324,Audi-R8-Coupe-2024-5.2L-V10-Performance-RWD-570-HP,Audi-R8-Coupe-2024-5.2L-V10-Performance-RWD-570-HP,Publish,"0000-00-00 00:00:00"
68,"5.2L V10 Performance Quattro (610 HP)","R8 Coupe",5-2l-v10-performance-quattro-610-hp,KSA,TBD,68,277,5.2,10,"All Wheel Drive",83,13.1,Petrol,610,580,Automatic,"2 Seater",3.2,,,,330,Audi-R8-Coupe-2024-5.2L-V10-Performance-Quattro-610-HP,Audi-R8-Coupe-2024-5.2L-V10-Performance-Quattro-610-HP,Publish,"0000-00-00 00:00:00"
69,"2.0T SE (off-Road) 4X4",BJ40,2-0t-se-off-road-4x4,KSA,"1,23,900",69,299,2,4,"All Wheel Drive",75,,Petrol,230,380,Automatic,"5 Seater",,,,,150,BAIC-BJ40-2024-2.0T-SE-off-Road-4X4,BAIC-BJ40-2024-2.0T-SE-off-Road-4X4,Publish,"0000-00-00 00:00:00"
70,"1.5L Elite",X35,1-5l-elite,KSA,"60,939",70,299,1.5,4,"Front Wheel Drive",,,Petrol,114,148,Automatic,"5 Seater",,,,,,BAIC-X35-2024-1.5L-Elite,BAIC-X35-2024-1.5L-Elite,Publish,"0000-00-00 00:00:00"
71,"1.5L Luxury",X35,1-5l-luxury,KSA,"68,650",71,299,1.5,4,"Front Wheel Drive",,,Petrol,116,148,Automatic,"5 Seater",,,,,,BAIC-X35-2024-1.5L-Luxury,BAIC-X35-2024-1.5L-Luxury,Publish,"0000-00-00 00:00:00"
72,"2.3T Flagship","BJ40 Plus",2-3t-flagship,KSA,"1,36,800",72,299,2.3,4,"All Wheel Drive",75,10,Petrol,250,350,Automatic,"5 Seater",15.1,,,,150,BAIC-BJ40-Plus-2024-2.3T-Flagship,BAIC-BJ40-Plus-2024-2.3T-Flagship,Publish,"0000-00-00 00:00:00"
73,"2.3T Permium","BJ40 Plus",2-3t-permium,KSA,TBD,73,299,2.3,4,"All Wheel Drive",75,10,Petrol,250,350,Automatic,"4 Seater",15.1,,,,150,BAIC-BJ40-Plus-2024-2.3T-Permium,BAIC-BJ40-Plus-2024-2.3T-Permium,Publish,"0000-00-00 00:00:00"
74,"2.3T Champion","BJ40 Plus",2-3t-champion,KSA,TBD,74,299,2.3,4,"All Wheel Drive",75,10,Petrol,250,350,Automatic,"5 Seater",15.1,,,,150,BAIC-BJ40-Plus-2024-2.3T-Champion,BAIC-BJ40-Plus-2024-2.3T-Champion,Publish,"0000-00-00 00:00:00"
75,"3.0T 4WD",BJ80,3-0t-4wd,KSA,TBD,75,299,3,6,"All Wheel Drive",,,Petrol,245,350,N/A,"5 Seater",,,,,,BAIC-BJ80-2024-3.0T-4WD,BAIC-BJ80-2024-3.0T-4WD,Publish,"0000-00-00 00:00:00"
76,"3.0T Zomol 4WD",BJ80,3-0t-zomol-4wd,KSA,"2,60,000",76,299,3,6,"All Wheel Drive",88,9.7,Petrol,280,420,Automatic,"5 Seater",8,,,,,BAIC-BJ80-2024-3.0T-Zomol-4WD,BAIC-BJ80-2024-3.0T-Zomol-4WD,Publish,"0000-00-00 00:00:00"
77,"1.5T Elite",X7,1-5t-elite,KSA,"1,05,600",77,299,1.5,4,"Front Wheel Drive",,6.8,Petrol,185,275,Automatic,"5 Seater",,,,,,BAIC-X7-2024-1.5T-Elite,BAIC-X7-2024-1.5T-Elite,Publish,"0000-00-00 00:00:00"
